Tabelle: 12621-0001
Sterbetafel (Periodensterbetafel): Deutschland, Jahre,;;;;;;;;;;;;;;
Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;
;männlich;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;
;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];
;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre
2020/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 Jahre;0,00042538;e;0,99957462;e;99308;e;42;e;99287;e;5642485;e;56,82;e;0,00016673;e;0,99983327;e;99480;e;17;e;99472;e;6126257;e;61,58;e
23 Jahre;0,00043499;e;0,99956501;e;99266;e;43;e;99244;e;5543198;e;55,84;e;0,00017542;e;0,99982458;e;99463;e;17;e;99455;e;6026786;e;60,59;e
24 Jahre;0,00043165;e;0,99956835;e;99223;e;43;e;99201;e;5443953;e;54,87;e;0,00016056;e;0,99983944;e;99446;e;16;e;99438;e;5927331;e;59,60;e
25 Jahre;0,00042692;e;0,99957308;e;99180;e;42;e;99159;e;5344752;e;53,89;e;0,00019383;e;0,99980617;e;99430;e;19;e;99420;e;5827894;e;58,61;e
26 Jahre;0,00046514;e;0,99953486;e;99138;e;46;e;99115;e;5245593;e;52,91;e;0,00018385;e;0,99981615;e;99411;e;18;e;99401;e;5728473;e;57,62;e
27 Jahre;0,00046204;e;0,99953796;e;99092;e;46;e;99069;e;5146478;e;51,94;e;0,00019552;e;0,99980448;e;99392;e;19;e;99383;e;5629072;e;56,63;e
28 Jahre;0,00046316;e;0,99953684;e;99046;e;46;e;99023;e;5047410;e;50,96;e;0,00023408;e;0,99976592;e;99373;e;23;e;99361;e;5529689;e;55,65;e
29 Jahre;0,00050856;e;0,99949144;e;99000;e;50;e;98975;e;4948387;e;49,98;e;0,00023139;e;0,99976861;e;99350;e;23;e;99338;e;5430328;e;54,66;e
30 Jahre;0,00054087;e;0,99945913;e;98950;e;54;e;98923;e;4849412;e;49,01;e;0,00025400;e;0,99974600;e;99327;e;25;e;99314;e;5330990;e;53,67;e
31 Jahre;0,00056493;e;0,99943507;e;98896;e;56;e;98868;e;4750490;e;48,04;e;0,00030370;e;0,99969630;e;99301;e;30;e;99286;e;5231676;e;52,68;e
32 Jahre;0,00060779;e;0,99939221;e;98840;e;60;e;98810;e;4651622;e;47,06;e;0,00032576;e;0,99967424;e;99271;e;32;e;99255;e;5132390;e;51,70;e
33 Jahre;0,00063895;e;0,99936105;e;98780;e;63;e;98748;e;4552811;e;46,09;e;0,00035820;e;0,99964180;e;99239;e;36;e;99221;e;5033135;e;50,72;e
34 Jahre;0,00075851;e;0,99924149;e;98717;e;75;e;98679;e;4454063;e;45,12;e;0,00041639;e;0,99958361;e;99203;e;41;e;99183;e;4933914;e;49,74;e
35 Jahre;0,00080668;e;0,99919332;e;98642;e;80;e;98602;e;4355383;e;44,15;e;0,00045554;e;0,99954446;e;99162;e;45;e;99139;e;4834731;e;48,76;e
36 Jahre;0,00091664;e;0,99908336;e;98562;e;90;e;98517;e;4256781;e;43,19;e;0,00045558;e;0,99954442;e;99117;e;45;e;99094;e;4735592;e;47,78;e
37 Jahre;0,00106314;e;0,99893686;e;98472;e;105;e;98420;e;4158264;e;42,23;e;0,00052038;e;0,99947962;e;99072;e;52;e;99046;e;4636497;e;46,80;e
38 Jahre;0,00111217;e;0,99888783;e;98367;e;109;e;98313;e;4059844;e;41,27;e;0,00059299;e;0,99940701;e;99020;e;59;e;98991;e;4537451;e;45,82;e
39 Jahre;0,00119615;e;0,99880385;e;98258;e;118;e;98199;e;3961531;e;40,32;e;0,00064714;e;0,99935286;e;98961;e;64;e;98929;e;4438461;e;44,85;e
40 Jahre;0,00130792;e;0,99869208;e;98141;e;128;e;98076;e;3863332;e;39,37;e;0,00066068;e;0,99933932;e;98897;e;65;e;98865;e;4339531;e;43,88;e
41 Jahre;0,00140411;e;0,99859589;e;98012;e;138;e;97943;e;3765256;e;38,42;e;0,00077981;e;0,99922019;e;98832;e;77;e;98793;e;4240667;e;42,91;e
42 Jahre;0,00153203;e;0,99846797;e;97875;e;150;e;97800;e;3667312;e;37,47;e;0,00082241;e;0,99917759;e;98755;e;81;e;98714;e;4141873;e;41,94;e
43 Jahre;0,00172399;e;0,99827601;e;97725;e;168;e;97640;e;3569513;e;36,53;e;0,00094293;e;0,99905707;e;98674;e;93;e;98627;e;4043159;e;40,98;e
44 Jahre;0,00186540;e;0,99813460;e;97556;e;182;e;97465;e;3471873;e;35,59;e;0,00100448;e;0,99899552;e;98581;e;99;e;98531;e;3944531;e;40,01;e
45 Jahre;0,00195841;e;0,99804159;e;97374;e;191;e;97279;e;3374407;e;34,65;e;0,00106558;e;0,99893442;e;98482;e;105;e;98429;e;3846000;e;39,05;e
46 Jahre;0,00215419;e;0,99784581;e;97183;e;209;e;97079;e;3277129;e;33,72;e;0,00120986;e;0,99879014;e;98377;e;119;e;98317;e;3747571;e;38,09;e
47 Jahre;0,00239743;e;0,99760257;e;96974;e;232;e;96858;e;3180050;e;32,79;e;0,00129181;e;0,99870819;e;98258;e;127;e;98194;e;3649254;e;37,14;e
48 Jahre;0,00267387;e;0,99732613;e;96742;e;259;e;96612;e;3083192;e;31,87;e;0,00157601;e;0,99842399;e;98131;e;155;e;98053;e;3551060;e;36,19;e
49 Jahre;0,00305454;e;0,99694546;e;96483;e;295;e;96336;e;2986580;e;30,95;e;0,00169742;e;0,99830258;e;97976;e;166;e;97893;e;3453006;e;35,24;e
50 Jahre;0,00340414;e;0,99659586;e;96188;e;327;e;96024;e;2890244;e;30,05;e;0,00186063;e;0,99813937;e;97810;e;182;e;97719;e;3355113;e;34,30;e
51 Jahre;0,00373416;e;0,99626584;e;95861;e;358;e;95682;e;2794220;e;29,15;e;0,00202667;e;0,99797333;e;97628;e;198;e;97529;e;3257394;e;33,37;e
52 Jahre;0,00413115;e;0,99586885;e;95503;e;395;e;95306;e;2698538;e;28,26;e;0,00218541;e;0,99781459;e;97430;e;213;e;97324;e;3159865;e;32,43;e
53 Jahre;0,00449452;e;0,99550548;e;95108;e;427;e;94895;e;2603232;e;27,37;e;0,00245066;e;0,99754934;e;97217;e;238;e;97098;e;3062542;e;31,50;e
54 Jahre;0,00501542;e;0,99498458;e;94681;e;475;e;94443;e;2508338;e;26,49;e;0,00277904;e;0,99722096;e;96979;e;270;e;96844;e;2965444;e;30,58;e
55 Jahre;0,00574798;e;0,99425202;e;94206;e;541;e;93935;e;2413894;e;25,62;e;0,00304715;e;0,99695285;e;96709;e;295;e;96562;e;2868600;e;29,66;e
56 Jahre;0,00637257;e;0,99362743;e;93664;e;597;e;93366;e;2319959;e;24,77;e;0,00333151;e;0,99666849;e;96415;e;321;e;96254;e;2772038;e;28,75;e
57 Jahre;0,00700621;e;0,99299379;e;93068;e;652;e;92742;e;2226593;e;23,92;e;0,00371428;e;0,99628572;e;96093;e;357;e;95915;e;2675784;e;27,85;e
58 Jahre;0,00787263;e;0,99212737;e;92416;e;728;e;92052;e;2133852;e;23,09;e;0,00413417;e;0,99586583;e;95736;e;396;e;95539;e;2579869;e;26,95;e
59 Jahre;0,00871581;e;0,99128419;e;91688;e;799;e;91288;e;2041800;e;22,27;e;0,00461231;e;0,99538769;e;95341;e;440;e;95121;e;2484330;e;26,06;e
60 Jahre;0,00976864;e;0,99023136;e;90889;e;888;e;90445;e;1950512;e;21,46;e;0,00520571;e;0,99479429;e;94901;e;494;e;94654;e;2389210;e;25,18;e
61 Jahre;0,01086697;e;0,98913303;e;90001;e;978;e;89512;e;1860067;e;20,67;e;0,00562128;e;0,99437872;e;94407;e;531;e;94142;e;2294556;e;24,30;e
62 Jahre;0,01195156;e;0,98804844;e;89023;e;1064;e;88491;e;1770555;e;19,89;e;0,00618415;e;0,99381585;e;93876;e;581;e;93586;e;2200414;e;23,44;e
63 Jahre;0,01315673;e;0,98684327;e;87959;e;1157;e;87380;e;1682064;e;19,12;e;0,00687641;e;0,99312359;e;93296;e;642;e;92975;e;2106828;e;22,58;e
64 Jahre;0,01450329;e;0,98549671;e;86802;e;1259;e;86172;e;1594683;e;18,37;e;0,00759388;e;0,99240612;e;92654;e;704;e;92302;e;2013853;e;21,74;e
65 Jahre;0,01594929;e;0,98405071;e;85543;e;1364;e;84861;e;1508511;e;17,63;e;0,00834970;e;0,99165030;e;91951;e;768;e;91567;e;1921551;e;20,90;e
66 Jahre;0,01743528;e;0,98256472;e;84178;e;1468;e;83445;e;1423651;e;16,91;e;0,00911104;e;0,99088896;e;91183;e;831;e;90767;e;1829984;e;20,07;e
67 Jahre;0,01895626;e;0,98104374;e;82711;e;1568;e;81927;e;1340206;e;16,20;e;0,00975485;e;0,99024515;e;90352;e;881;e;89911;e;1739217;e;19,25;e
68 Jahre;0,02063084;e;0,97936916;e;81143;e;1674;e;80306;e;1258279;e;15,51;e;0,01081606;e;0,98918394;e;89471;e;968;e;88987;e;1649305;e;18,43;e
69 Jahre;0,02231726;e;0,97768274;e;79469;e;1774;e;78582;e;1177973;e;14,82;e;0,01193152;e;0,98806848;e;88503;e;1056;e;87975;e;1560319;e;17,63;e
